numero,descricao,bug,tech_debt,repo,ultima_alteracao,ideia,para_rodar,em_progresso,para_homologacao,em_homologacao,em_producao,aprendemos,cycle_time,lead_time
277,Adicionar link ao github para páginas de conteúdo,false,false,servicosgovbr/guia-de-servicos,05/15/15 10:47,05/12/15 16:12,05/12/15 16:12,05/12/15 16:12,05/12/15 16:12,05/12/15 16:12,05/12/15 16:12,,1,
276,Adicionar link ao github para órgão,false,false,servicosgovbr/guia-de-servicos,05/15/15 16:35,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,,1,
275,Adicionar link ao github para serviço,false,false,servicosgovbr/guia-de-servicos,05/15/15 15:40,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,05/12/15 16:09,,1,
274,Hierarquizar lista de órgãos segundo SIORG,false,false,servicosgovbr/guia-de-servicos,05/15/15 16:11,05/12/15 15:22,05/13/15 14:50,05/13/15 14:50,05/13/15 14:50,05/13/15 14:50,05/13/15 14:50,,1,
273,Link quebrado: Atualização de endereço de aposentados e pensionistas,true,false,servicosgovbr/guia-de-servicos,05/12/15 12:43,05/12/15 12:42,05/12/15 12:42,05/12/15 12:42,05/12/15 12:42,05/12/15 12:42,05/12/15 12:42,05/12/15 12:43,1,1
272,Link quebrado: Extrato de Benefícios Previdenciários para Declaração de Imposto de Renda,true,false,servicosgovbr/guia-de-servicos,05/14/15 14:05,05/12/15 12:35,05/12/15 12:35,05/12/15 12:35,05/12/15 12:35,05/12/15 12:35,05/12/15 12:35,05/12/15 12:38,1,1
271,Página da iniciativa Guia de Serviços,false,false,servicosgovbr/guia-de-servicos,05/14/15 14:04,05/12/15 11:36,05/12/15 11:36,05/12/15 11:36,05/12/15 11:36,05/12/15 11:36,05/12/15 11:36,05/12/15 11:39,1,1
270,Linkbacks,false,false,servicosgovbr/guia-de-servicos,05/14/15 18:20,05/12/15 04:10,05/12/15 04:10,05/12/15 04:10,05/12/15 04:10,05/12/15 04:10,05/12/15 04:10,,1,
269,Remover paginação e total de resultados do topo,false,false,servicosgovbr/guia-de-servicos,05/14/15 11:27,05/11/15 16:20,05/11/15 16:20,05/11/15 16:20,05/11/15 16:20,05/11/15 16:20,05/11/15 16:20,,1,
268,Informar as palavras pesquisadas nas compensações,false,false,servicosgovbr/guia-de-servicos,05/14/15 18:20,05/11/15 13:28,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,,1,
267,As categorizações não aparecem no celular,false,false,servicosgovbr/guia-de-servicos,05/11/15 15:05,05/11/15 11:01,05/11/15 15:05,05/11/15 15:05,05/11/15 15:05,05/11/15 15:05,05/11/15 15:05,05/11/15 15:05,1,1
266,Perguntas frequentes não aparece no celular,true,false,servicosgovbr/guia-de-servicos,05/14/15 14:05,05/11/15 10:56,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/13/15 12:46,1,2
265,Verificando links quebrados / antigos,false,false,servicosgovbr/guia-de-servicos,05/21/15 16:29,05/10/15 20:29,05/12/15 04:17,05/12/15 04:17,05/12/15 04:17,05/12/15 04:17,05/12/15 04:17,,1,
264,Uniformizar texto do feedback,false,false,servicosgovbr/guia-de-servicos,05/13/15 14:49,05/08/15 17:45,,,,,,,,
263,Corrigir breadcrumb,false,false,servicosgovbr/guia-de-servicos,05/13/15 14:46,05/08/15 17:44,05/08/15 20:20,05/08/15 20:20,05/08/15 20:20,05/08/15 20:20,05/08/15 20:20,05/13/15 14:46,1,5
262,Inserir auto-complete na busca,false,false,servicosgovbr/guia-de-servicos,05/15/15 16:11,05/08/15 17:44,05/13/15 14:44,05/13/15 14:44,05/13/15 14:44,05/13/15 14:44,05/13/15 14:44,,1,
261,Melhorar visualização do campo de busca na barra,false,false,servicosgovbr/guia-de-servicos,05/08/15 20:18,05/08/15 17:43,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,1,1
260,"Link do ""Começar"" duplicado em ""Canais""",false,false,servicosgovbr/guia-de-servicos,05/18/15 15:18,05/08/15 17:42,05/13/15 14:42,05/13/15 14:42,05/13/15 14:42,05/13/15 14:42,05/13/15 14:42,,1,
259,Corrigir texto de busca vazia.,false,false,servicosgovbr/guia-de-servicos,05/13/15 16:23,05/08/15 17:41,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,05/08/15 20:18,1,1
258,Corrigir busca,true,false,servicosgovbr/guia-de-servicos,05/15/15 15:32,05/08/15 17:36,05/13/15 14:41,05/13/15 14:41,05/13/15 14:41,05/13/15 14:41,05/13/15 14:41,05/15/15 15:32,1,2
257,Adicionar texto sobre ouvidorias à página de órgãos,false,false,servicosgovbr/guia-de-servicos,05/14/15 16:29,05/08/15 16:56,05/08/15 16:56,05/08/15 16:56,05/08/15 16:56,05/08/15 16:56,05/08/15 16:56,,1,
256,Retirar textos linhas da vida,false,false,servicosgovbr/guia-de-servicos,05/14/15 11:35,05/08/15 16:20,05/08/15 16:20,05/08/15 16:20,05/08/15 16:20,05/08/15 16:20,05/08/15 16:20,,1,
255,"""Ocorreu um erro"" -> erros mais específicos para o usuário quando possível",false,false,servicosgovbr/guia-de-servicos,05/15/15 14:54,05/07/15 17:54,05/07/15 17:57,05/07/15 17:57,05/07/15 17:57,05/07/15 17:57,05/07/15 17:57,,1,
254,Visão do Dashboard de Métricas,false,false,servicosgovbr/guia-de-servicos,05/14/15 14:09,05/07/15 17:23,05/07/15 17:23,05/07/15 17:23,05/07/15 17:23,05/07/15 17:23,05/07/15 17:23,05/14/15 14:09,1,7
